com.samsung.shealth.rewards,6211031,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2021-03-19 04:00:00.000,,10009,,2022-03-26 15:59:48.831,2022-03-26 15:59:48.831,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":17907}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2021-03-19 04:00:00.000,fe25e368-bb3b-4a4a-b940-f6e0a331e7e1,1,
,2021-04-16 22:53:41.626,,,,2021-04-18 16:36:01.924,2021-04-16 22:53:41.666,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":81,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-04-16 22:53:41.626,5becc0e5-1453-4a15-bb0e-1275307b1084,0,
,2021-08-15 00:28:28.877,,,,2021-08-18 22:12:10.715,2021-08-15 00:28:28.923,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":73,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-08-15 00:28:28.877,fccaed86-3697-4a6d-a9c7-ebd399157db9,0,
,2020-11-03 05:00:00.000,,1999999,,2022-03-26 15:59:48.840,2022-03-26 15:59:48.840,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":8340}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2020-11-03 05:00:00.000,8c67b715-29e8-448f-9278-8748b2ce07ac,1,
,2021-03-16 22:00:50.571,,,,2021-03-18 00:36:11.080,2021-03-16 22:01:03.143,,,goal_activity_reward_goal_achieved,UTC-0600,"{""mIsCompleted"":false,""mValue"":72,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-03-16 22:00:50.571,39f88e53-41d2-4bd1-813d-cdab8a9922d1,0,
,2020-11-12 05:00:00.000,,1999999,,2022-03-26 15:59:48.841,2022-03-26 15:59:48.841,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":8073}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2020-11-12 05:00:00.000,92876323-1fca-4c80-bbe1-3efeb2ecf2d7,1,
,2021-06-23 23:10:35.766,,,,2021-06-25 00:01:24.539,2021-06-23 23:10:35.813,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":true,""mValue"":97,""mValue2"":60}",Idp7XEd6un,com.sec.android.app.shealth,goal.activity,2021-06-23 23:10:35.766,a8cb412c-4533-4f3f-84aa-306d96f80d77,0,
,2020-11-28 05:00:00.000,,1999999,,2022-03-26 15:59:48.841,2022-03-26 15:59:48.841,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":7577}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2020-11-28 05:00:00.000,11781779-9830-4bb2-be42-ed88b75d13f9,1,
1201,,1002,,933ae246-0f0a-cb6d-a577-fad212e96ab2,2022-03-26 15:59:38.719,2022-03-26 15:59:38.719,,,1201,UTC-0400,2.569,Idp7XEd6un,com.sec.android.app.shealth,sport.tracker.best.record.speed.lifetime,2021-08-06 20:16:20.630,38d19ab3-607d-4759-9c1a-991854f25150,1,
,2020-12-19 05:00:00.000,,1999999,,2022-03-26 15:59:48.842,2022-03-26 15:59:48.842,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":8000,""mValue"":11665}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2020-12-19 05:00:00.000,4b8c5916-8e13-405a-850d-df1f9c700f8d,1,
,2020-12-06 05:00:00.000,,10009,,2022-03-26 15:59:48.829,2022-03-26 15:59:48.829,,,tracker_pedometer_reward_target_achieved,UTC-0500,"{""mTarget"":6000,""mValue"":6384}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2020-12-06 05:00:00.000,91b3e4a5-254a-4ffd-9a77-f9e123bbca36,1,
,2021-04-18 04:00:00.000,,1999999,,2022-03-26 15:59:48.842,2022-03-26 15:59:48.842,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":8000,""mValue"":12543}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2021-04-18 04:00:00.000,b0bef3ba-6b03-4648-bcd5-97b4fb1ebe81,1,
,2021-03-19 04:00:00.000,,10009,,2022-03-26 15:59:48.829,2022-03-26 15:59:48.829,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":8000,""mValue"":17907}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2021-03-19 04:00:00.000,930f8243-b56e-4461-acac-28b6b4d4cce2,1,
,2021-05-26 04:00:00.000,,1999999,,2022-03-26 15:59:48.843,2022-03-26 15:59:48.843,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":8000,""mValue"":9184}",Idp7XEd6un,com.sec.android.app.shealth,tracker.pedometer,2021-05-26 04:00:00.000,90474591-bc74-4c06-82bb-fae8bd7b3b8d,1,
