com.samsung.shealth.stand_day_summary,6211031,1
stand_time,update_time,create_time,deviceuuid,pkg_name,datauuid,day_time
4326400,2022-01-16 03:30:49.263,2022-01-15 13:56:46.802,j9zBUHWfhn,com.sec.android.app.shealth,32ff1ca8-1190-e9d4-ed4a-9ebc2f601716,1642204800000,
1722368,2021-04-11 00:42:29.204,2021-04-10 11:57:39.121,j9zBUHWfhn,com.sec.android.app.shealth,ed9a5888-2ddc-1758-a89f-944afc86b599,1618012800000,
9717760,2022-01-01 04:40:19.236,2021-12-31 14:09:49.139,j9zBUHWfhn,com.sec.android.app.shealth,17a63890-07e6-bb47-cd0c-848e2b379af2,1640908800000,
1344512,2022-02-27 01:25:35.230,2022-02-26 13:42:32.134,j9zBUHWfhn,com.sec.android.app.shealth,4d79bb29-d52a-b427-048a-941d62b88aec,1645833600000,
4489217,2021-09-20 02:15:54.254,2021-09-19 04:00:06.494,j9zBUHWfhn,com.sec.android.app.shealth,87ec7937-5f0c-c103-dbd3-e9fdd466da3d,1632009600000,
413696,2020-11-18 23:50:28.281,2020-11-18 12:33:46.395,j9zBUHWfhn,com.sec.android.app.shealth,c6c6a5f4-71e0-8ea7-2df2-473edfba1e13,1605657600000,
5324800,2022-03-04 15:25:11.294,2022-03-04 01:46:30.516,j9zBUHWfhn,com.sec.android.app.shealth,1c2ec93b-1aa0-1026-aa31-81d7c6d1cd9b,1646352000000,
5641216,2021-01-22 03:06:57.219,2021-01-21 13:36:17.392,j9zBUHWfhn,com.sec.android.app.shealth,5cfee637-d4ee-0d0e-25c1-3053ebe371b8,1611187200000,
807936,2021-09-15 23:50:39.244,2021-09-15 11:33:57.880,j9zBUHWfhn,com.sec.android.app.shealth,1899967d-c9a5-b52f-edba-bb70c9d4c36c,1631664000000,
1138688,2022-03-10 13:45:54.225,2022-03-10 00:35:03.617,j9zBUHWfhn,com.sec.android.app.shealth,8b17da4b-0d80-4948-63db-1000c8a50f5a,1646870400000,
746496,2021-06-11 23:51:36.219,2021-06-11 12:05:41.294,j9zBUHWfhn,com.sec.android.app.shealth,ce17ef71-721a-26d4-14d8-16295fdff2ac,1623369600000,
